,Customer_ID,Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,Credit_Score,Debt_to_Income_Ratio,EMI_to_Salary_Ratio
0,CUS_0x1000,17.0,30625.94,2706.1616666666664,6.0,5.0,27.0,2.0,62.0,25.0,1.63,11.0,Bad,1562.91,123.0,Yes,42.941090422469365,142.5945427104242,340.08053353377306,Poor,0.051032229541362654,0.015867895459240007
1,CUS_0x1009,26.0,52312.68,4250.39,6.0,5.0,17.0,4.0,8.0,18.0,9.73,2.0,Standard,202.68,368.0,Yes,108.36646712525564,167.11676383657738,417.8696409917354,Standard,0.0038743952708979925,0.02549565266369807
2,CUS_0x100b,18.0,113781.38999999998,9549.7825,1.0,4.0,1.0,0.0,14.0,7.0,11.34,1.0,Good,1030.2,184.0,No,0.0,397.2418457702664,900.1520548233016,Poor,0.009054204734183684,0.0
3,CUS_0x1011,44.0,58918.47,5208.8725,3.0,3.0,17.0,3.0,27.0,15.0,14.42,7.0,Standard,473.14,184.0,Yes,123.43493879634316,383.35084463651407,294.1014665671429,Standard,0.00803041898406391,0.023697055129750854
4,CUS_0x1013,44.0,98620.98,7962.415000000001,3.0,3.0,6.0,3.0,12.0,9.0,1.33,3.0,Good,1233.51,211.0,No,228.018083652734,320.0888130977693,501.4739180458856,Standard,0.012507582058097577,0.028636799721282295
5,CUS_0x1015,27.0,46951.02,3725.585,7.0,4.0,16.0,0.0,8.0,9.0,15.83,9.0,Standard,340.22,251.0,Yes,0.0,249.8854090546087,402.6730909453913,Good,0.007246274947807311,0.0
6,CUS_0x1018,15.0,61194.81,5014.5675,7.0,7.0,23.0,8.0,24.0,22.0,28.63,8.0,Bad,2773.09,166.0,Yes,225.3686913764476,289.8643803222876,355.79340476381844,Poor,0.04531577105966993,0.04494279743496275
7,CUS_0x1026,51.0,170614.28,14463.856666666668,2.0,6.0,9.0,2.0,0.0,2.0,0.73,3.0,Good,849.69,244.0,No,208.90747938201577,418.1430226681613,1155.5620830332405,Standard,0.00498018102587896,0.01444341465741035
8,CUS_0x102d,30.0,89064.52,7256.043333333334,5.0,3.0,1.0,1.0,6.0,5.0,6.37,3.0,Good,648.36,360.0,No,37.57275058079424,496.13743898514736,479.80230071230096,Good,0.007279666471003268,0.005178132055550142
9,CUS_0x102e,26.0,50807.44,4197.953333333334,8.0,4.0,11.0,4.0,12.0,10.0,2.6,4.0,Standard,869.59,275.0,Yes,88.75991924748364,124.04746763087437,470.06729277798047,Standard,0.0171154067199607,0.021143617424876162
10,CUS_0x1032,40.0,60410.94,5274.245,4.0,7.0,17.0,4.0,23.0,9.0,7.65,9.0,Standard,1852.86,189.0,Yes,149.9263873826631,491.6616406617172,477.7859348920829,Standard,0.030670934767775503,0.02842613253321814
11,CUS_0x1037,44.0,15989.085,1086.42375,5.0,4.0,2.0,4.0,13.0,15.0,0.5,3.0,Good,665.82,233.0,No,33.797020629881075,78.16025033669776,281.3814567192434,Good,0.04164215775949656,0.031108506814105524
12,CUS_0x1038,27.0,129473.16,10959.43,3.0,4.0,10.0,3.0,25.0,13.0,8.61,10.0,Standard,568.21,234.0,Yes,255.32790499097848,441.0981661719095,664.516928837112,Good,0.00438863158974416,0.023297553339085928
13,CUS_0x103e,40.0,98690.8,8262.233333333334,4.0,6.0,9.0,1.0,6.0,17.0,10.76,4.0,Good,706.96,320.0,No,55.004407569291885,307.4395316069042,638.049182947824,Poor,0.007163383010371787,0.006657329241402674
14,CUS_0x1041,15.0,8978.11,894.1758333333332,8.0,8.0,30.0,9.0,50.0,17.0,18.48,10.0,Bad,4913.15,123.0,Yes,57.67965790681974,29.7431841446054,257.2641442276733,Standard,0.5472365564690118,0.06450594587397865
15,CUS_0x1044,44.0,33441.59,2748.799166666666,2.0,4.0,1.0,0.0,1.0,4.0,9.58,5.0,Good,154.96,377.0,No,0.0,169.28814697415444,376.1379408889379,Standard,0.004633750966984525,0.0
16,CUS_0x1048,27.0,42387.54,3680.295,3.0,7.0,26.0,7.0,9.0,8.0,14.34,7.0,Standard,1835.67,115.0,Yes,225.883368970478,133.51336229583663,268.6327687336854,Poor,0.04330683026191187,0.06137643014227881
